Date,Sulfur Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source,,,,,,,,
05/17/1993,52,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
05/18/1993,69,,,42-101-0027,AQS,,,,,,,,
05/19/1993,43,,,42-101-0023,AQS,,,,,,,,
05/20/1993,29,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
05/21/1993,69,,,42-101-0022,AQS,,,,,,,,
05/22/1993,52,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
05/23/1993,81,,,42-101-0022,AQS,,,,,,,,
05/24/1993,69,,,42-101-0022,AQS,,,,,,,,
05/25/1993,69,,,42-101-0022,AQS,,,,,,,,
05/26/1993,91,,,10-003-3001,AQS,,,,,,,,
05/27/1993,110,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
05/28/1993,56,,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0002,AQS,,,,,,,,
05/29/1993,82,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
05/30/1993,69,,,42-101-0022,AQS,,,,,,,,
05/31/1993,46,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
06/01/1993,101,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
06/02/1993,81,,,42-101-0022,AQS,,,,,,,,
06/03/1993,81,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
06/04/1993,43,,Ancora State Hospital,34-007-1001,AQS,,,,,,,,
06/05/1993,62,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
06/06/1993,87,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
06/07/1993,57,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
06/08/1993,70,,,10-003-2002,AQS,,,,,,,,
06/09/1993,97,,CAMDEN LAB,34-007-0003,AQS,,,,,,,,
06/10/1993,69,,,42-101-0022,AQS,,,,,,,,
06/11/1993,65,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
06/12/1993,36,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
06/13/1993,43,,ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),42-101-0136,AQS,,,,,,,,
06/14/1993,103,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
06/15/1993,69,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
06/16/1993,112,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
06/17/1993,81,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
06/18/1993,116,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
06/19/1993,114,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
06/20/1993,74,,,10-003-2002,AQS,,,,,,,,
06/21/1993,103,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
06/22/1993,72,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
06/23/1993,37,,,10-003-2002,AQS,,,,,,,,
06/24/1993,56,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
06/25/1993,107,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
06/26/1993,121,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
06/27/1993,69,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
06/28/1993,81,,,42-101-0029,AQS,,,,,,,,
06/29/1993,51,,A420170012LAT/LONG POINT IS OF SAMPLING INLET,42-017-0012,AQS,,,,,,,,
06/30/1993,59,,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0002,AQS,,,,,,,,
